country,region,happiness_score,gdp_per_capita,social_support,life_expectancy,freedom,generosity,corruption,year,region_avg_happiness,region_avg_gdp,happiness_vs_region,happiness_zscore
Malaysia,Southeastern Asia,5.77,1.12486,1.07023,0.72394,0.53024,0.33075,0.10501,2015,5.317444444444444,0.7890544444444445,0.4525555555555556,0.3048759086995669
Croatia,Central and Eastern Europe,5.759,1.08254,0.79624,0.78805,0.25883,0.05444,0.0243,2015,5.332931034482758,0.942438275862069,0.42606896551724205,0.2950096175292141
Libya,Middle East and Northern Africa,5.754,1.13145,1.11862,0.7038,0.41668,0.18295,0.11023,2015,5.406899999999999,1.0669735,0.3471000000000002,0.2905249397245073
Russia,Central and Eastern Europe,5.716,1.13764,1.23617,0.66926,0.36679,0.00199,0.03005,2015,5.332931034482758,0.942438275862069,0.3830689655172419,0.25644138840874137
Jamaica,Latin America and Caribbean,5.709,0.81038,1.15102,0.68741,0.50442,0.2123,0.02299,2015,6.144681818181818,0.8768154545454546,-0.43568181818181806,0.25016283948215234
North Cyprus,Western Europe,5.695,1.20806,1.07008,0.92356,0.49027,0.26169,0.1428,2015,6.689619047619048,1.2985957142857143,-0.9946190476190475,0.23760574162897577
Cyprus,Western Europe,5.689,1.20813,0.89318,0.92356,0.40672,0.30638,0.06146,2015,6.689619047619048,1.2985957142857143,-1.0006190476190477,0.23222412826332825
Algeria,Middle East and Northern Africa,5.605,0.93929,1.07772,0.61766,0.28579,0.07822,0.17383,2015,5.406899999999999,1.0669735,0.19810000000000105,0.15688154114426583
Kosovo,Central and Eastern Europe,5.589,0.80148,0.81198,0.63132,0.24749,0.2831,0.04741,2015,5.332931034482758,0.942438275862069,0.2560689655172421,0.14253057216920623
Turkmenistan,Central and Eastern Europe,5.548,0.95847,1.22668,0.53886,0.4761,0.16979,0.30844,2015,5.332931034482758,0.942438275862069,0.21506896551724175,0.10575621417061576
Mauritius,Sub-Saharan Africa,5.477,1.00761,0.98521,0.7095,0.56066,0.37744,0.07521,2015,4.2028,0.380473,1.2742000000000004,0.04207378934378916
Hong Kong,Eastern Asia,5.474,1.38604,1.05818,1.01328,0.59608,0.39478,0.37124,2015,5.626166666666666,1.15178,-0.15216666666666612,0.039382982660965384
Estonia,Central and Eastern Europe,5.429,1.15174,1.22791,0.77361,0.44888,0.0868,0.15184,2015,5.332931034482758,0.942438275862069,0.09606896551724198,-0.0009791175813895967
Indonesia,Southeastern Asia,5.399,0.82827,1.08708,0.63793,0.46611,0.51535,0.0,2015,5.317444444444444,0.7890544444444445,0.08155555555555605,-0.027887184409626516
Vietnam,Southeastern Asia,5.36,0.63216,0.91226,0.74676,0.59444,0.1686,0.10441,2015,5.317444444444444,0.7890544444444445,0.042555555555556346,-0.06286767128633396
Turkey,Middle East and Northern Africa,5.332,1.06098,0.94632,0.73172,0.22815,0.12253,0.15746,2015,5.406899999999999,1.0669735,-0.07489999999999952,-0.08798186699268862
Kyrgyzstan,Central and Eastern Europe,5.286,0.47428,1.15115,0.65088,0.43477,0.3003,0.04232,2015,5.332931034482758,0.942438275862069,-0.046931034482758704,-0.12924090279598513
Nigeria,Sub-Saharan Africa,5.268,0.65435,0.90432,0.16007,0.34334,0.27233,0.0403,2015,4.2028,0.380473,1.0652,-0.14538574289292697
Bhutan,Southern Asia,5.253,0.77042,1.10395,0.57407,0.53206,0.47998,0.15445,2015,4.580857142857143,0.5604857142857143,0.6721428571428572,-0.15883977630704502
